# tempo dp
0 -2.52047e-005
2.0202 -2.52051e-005
4.0404 -2.52056e-005
6.06061 -2.52061e-005
8.08081 -2.52066e-005
10.101 -2.52072e-005
12.1212 -2.52077e-005
14.1414 -2.52082e-005
16.1616 -2.52087e-005
18.1818 -2.52093e-005
20.202 -2.52098e-005
22.2222 -2.52103e-005
24.2424 -2.52108e-005
26.2626 -2.52114e-005
28.2828 -2.52119e-005
30.303 -2.52124e-005
32.3232 -2.52129e-005
34.3434 -2.52135e-005
36.3636 -2.5214e-005
38.3838 -2.52145e-005
40.404 -2.52151e-005
42.4242 -2.52156e-005
44.4444 -2.52161e-005
46.4646 -2.52166e-005
48.4848 -2.52172e-005
50.5051 -2.52177e-005
52.5253 -2.52182e-005
54.5455 -2.52188e-005
56.5657 -2.52193e-005
58.5859 -2.52198e-005
60.6061 -2.52204e-005
62.6263 -2.52209e-005
64.6465 -2.52214e-005
66.6667 -2.5222e-005
68.6869 -2.52225e-005
70.7071 -2.5223e-005
72.7273 -2.52236e-005
74.7475 -2.52241e-005
76.7677 -2.52246e-005
78.7879 -2.52252e-005
80.8081 -2.52257e-005
82.8283 -2.52263e-005
84.8485 -2.52268e-005
86.8687 -2.52273e-005
88.8889 -2.52279e-005
90.9091 -2.52284e-005
92.9293 -2.52289e-005
94.9495 -2.52295e-005
96.9697 -2.523e-005
98.9899 -2.52305e-005
101.01 -2.52311e-005
103.03 -2.52316e-005
105.051 -2.52322e-005
107.071 -2.52327e-005
109.091 -2.52332e-005
111.111 -2.52338e-005
113.131 -2.52343e-005
115.152 -2.52348e-005
117.172 -2.52354e-005
119.192 -2.52359e-005
121.212 -2.52365e-005
123.232 -2.5237e-005
125.253 -2.52375e-005
127.273 -2.52381e-005
129.293 -2.52386e-005
131.313 -2.52392e-005
133.333 -2.52397e-005
135.354 -2.52402e-005
137.374 -2.52407e-005
139.394 -2.52407e-005
141.414 -2.52407e-005
143.434 -2.52407e-005
145.455 -2.52407e-005
147.475 -2.52407e-005
149.495 -2.52407e-005
151.515 -2.52407e-005
153.535 -2.52407e-005
155.556 -2.52407e-005
157.576 -2.52407e-005
159.596 -2.52407e-005
161.616 -2.52407e-005
163.636 -2.52407e-005
165.657 -2.52407e-005
167.677 -2.52407e-005
169.697 -2.52407e-005
171.717 -2.52407e-005
173.737 -2.52407e-005
175.758 -2.52407e-005
177.778 -2.52407e-005
179.798 -2.52407e-005
181.818 -2.52407e-005
183.838 -2.52407e-005
185.859 -2.52407e-005
187.879 -2.52407e-005
189.899 -2.52407e-005
191.919 -2.52407e-005
193.939 -2.52407e-005
195.96 -2.52407e-005
197.98 -2.52407e-005
200 -2.52407e-005
